------------------------------------------------------------
./prime N=[1000...1000000] by 10x

  Primes | Time (ms) | N
  ------ | --------- | -------
     168 |  0.035374 | 1000   
    1229 |  0.158726 | 10000  
    9592 |  3.693610 | 100000 
   78498 |  7.083000 | 1000000
------------------------------------------------------------
------------------------------------------------------------
./prime-omp N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.073182 | 1000    | 1  
     168 |  0.313985 | 1000    | 2  
     168 |  0.462192 | 1000    | 4  
     168 |  0.677025 | 1000    | 8  
     168 |  5.989600 | 1000    | 16 
     168 |  7.991780 | 1000    | 32 
     168 |  2.265400 | 1000    | 64 
     168 |  5.007500 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.329091 | 10000   | 1  
    1229 |  0.532630 | 10000   | 2  
    1229 |  0.782888 | 10000   | 4  
    1229 |  1.074770 | 10000   | 8  
    1229 |  1.300600 | 10000   | 16 
    1229 |  9.969550 | 10000   | 32 
    1229 |  9.078000 | 10000   | 64 
    1229 |  9.524200 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  2.188750 | 100000  | 1  
    9592 |  2.225500 | 100000  | 2  
    9592 |  1.888590 | 100000  | 4  
    9592 |  1.586090 | 100000  | 8  
    9592 |  6.980300 | 100000  | 16 
    9592 |  2.146600 | 100000  | 32 
    9592 |  3.603000 | 100000  | 64 
    9592 |  2.758200 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  5.124500 | 1000000 | 1  
   78498 |  4.400700 | 1000000 | 2  
   78498 |  1.392400 | 1000000 | 4  
   78498 |  6.836610 | 1000000 | 8  
   78498 |  0.432500 | 1000000 | 16 
   78498 |  6.651000 | 1000000 | 32 
   78498 |  9.739900 | 1000000 | 64 
   78498 |  8.703000 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
./prime-omp2 N=[1000...1000000] by 10x and P=[1...128] by 2x

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
     168 |  0.074105 | 1000    | 1  
     168 |  0.366292 | 1000    | 2  
     168 |  0.704692 | 1000    | 4  
     168 |  1.265330 | 1000    | 8  
     168 |  2.878700 | 1000    | 16 
     168 |  2.842930 | 1000    | 32 
     168 |  5.684760 | 1000    | 64 
     168 |  9.853520 | 1000    | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    1229 |  0.311499 | 10000   | 1  
    1229 |  0.571417 | 10000   | 2  
    1229 |  0.986500 | 10000   | 4  
    1229 |  1.441340 | 10000   | 8  
    1229 |  2.852200 | 10000   | 16 
    1229 |  3.066580 | 10000   | 32 
    1229 |  7.255310 | 10000   | 64 
    1229 |  1.155600 | 10000   | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
    9592 |  3.559510 | 100000  | 1  
    9592 |  1.836140 | 100000  | 2  
    9592 |  2.448910 | 100000  | 4  
    9592 |  3.578940 | 100000  | 8  
    9592 |  6.990400 | 100000  | 16 
    9592 |  4.924110 | 100000  | 32 
    9592 |  9.544140 | 100000  | 64 
    9592 |  4.470600 | 100000  | 128

  Primes | Time (ms) | N       | P
  ------ | --------- | ------- | ---
   78498 |  8.347700 | 1000000 | 1  
   78498 |  7.495800 | 1000000 | 2  
   78498 |  0.620800 | 1000000 | 4  
   78498 |  9.526400 | 1000000 | 8  
   78498 |  2.817000 | 1000000 | 16 
   78498 |  3.122200 | 1000000 | 32 
   78498 |  9.357400 | 1000000 | 64 
   78498 |  6.074200 | 1000000 | 128
------------------------------------------------------------
------------------------------------------------------------
